,dcterms:identifier{Literal},dcterms:creator{URIRef}[0],dcterms:creator{URIRef}[1],dcterms:creator{URIRef}[2],dcterms:creator{URIRef}[3],dcterms:creator{URIRef}[4],dcterms:creator{URIRef}[5],dcterms:creator{URIRef}[6],dcterms:creator{URIRef}[7],dcterms:creator{URIRef}[8],dcterms:creator{URIRef}[9],dcterms:creator{URIRef}[10],dcterms:creator{URIRef}[11],dcterms:creator{URIRef}[12],dcterms:creator{URIRef}[13],dcterms:creator{URIRef}[14],dcterms:creator{URIRef}[15],dcterms:creator{URIRef}[16],dcterms:creator{URIRef}[17],dcterms:creator{URIRef}[18],dcterms:creator{URIRef}[19],dcterms:creator{URIRef}[20],dcterms:creator{URIRef}[21],dcterms:creator{URIRef}[22],dcterms:creator{URIRef}[23],dcterms:creator{URIRef}[24],dcterms:creator{URIRef}[25],dcterms:creator{URIRef}[26],dcterms:creator{URIRef}[27],dcterms:creator{URIRef}[28],dcterms:creator{URIRef}[29],dcterms:creator{URIRef}[30],dcterms:creator{URIRef}[31],dcterms:creator{URIRef}[32],dcterms:creator{URIRef}[33],dcterms:creator{URIRef}[34],dcterms:creator{URIRef}[35],dcterms:creator{URIRef}[36],dcterms:creator{URIRef}[37],dcterms:creator{URIRef}[38],cito:cites{URIRef}[0],cito:cites{URIRef}[1],cito:cites{URIRef}[2],cito:cites{URIRef}[3],cito:cites{URIRef}[4],cito:cites{URIRef}[5],cito:cites{URIRef}[6],cito:cites{URIRef}[7],cito:cites{URIRef}[8],cito:cites{URIRef}[9],cito:cites{URIRef}[10],cito:cites{URIRef}[11],cito:cites{URIRef}[12],cito:cites{URIRef}[13],cito:cites{URIRef}[14],cito:cites{URIRef}[15],cito:cites{URIRef}[16],cito:cites{URIRef}[17],cito:cites{URIRef}[18],cito:cites{URIRef}[19],cito:cites{URIRef}[20],cito:cites{URIRef}[21],cito:cites{URIRef}[22],cito:cites{URIRef}[23],cito:cites{URIRef}[24],cito:cites{URIRef}[25],cito:cites{URIRef}[26],cito:cites{URIRef},cito:cites{URIRef}[27],cito:cites{URIRef}[28],cito:cites{URIRef}[29],cito:cites{URIRef}[30],cito:cites{URIRef}[31],cito:cites{URIRef}[32],cito:cites{URIRef}[33],cito:cites{URIRef}[34],cito:cites{URIRef}[35],cito:cites{URIRef}[36],cito:cites{URIRef}[37],cito:cites{URIRef}[38],cito:cites{URIRef}[39],cito:cites{URIRef}[40],cito:cites{URIRef}[41],cito:cites{URIRef}[42],cito:cites{URIRef}[43],cito:cites{URIRef}[44],cito:cites{URIRef}[45],cito:cites{URIRef}[46],cito:cites{URIRef}[47],cito:cites{URIRef}[48],cito:cites{URIRef}[49],cito:cites{URIRef}[50],cito:cites{URIRef}[51],cito:cites{URIRef}[52],cito:cites{URIRef}[53],cito:cites{URIRef}[54],cito:cites{URIRef}[55],cito:cites{URIRef}[56],cito:cites{URIRef}[57],cito:cites{URIRef}[58],cito:cites{URIRef}[59],cito:cites{URIRef}[60],cito:cites{URIRef}[61],cito:cites{URIRef}[62],cito:cites{URIRef}[63],cito:cites{URIRef}[64],cito:cites{URIRef}[65],cito:cites{URIRef}[66],cito:cites{URIRef}[67],cito:cites{URIRef}[68],cito:cites{URIRef}[69],cito:cites{URIRef}[70],cito:cites{URIRef}[71],cito:cites{URIRef}[72],cito:cites{URIRef}[73],cito:cites{URIRef}[74],cito:cites{URIRef}[75],cito:cites{URIRef}[76],cito:cites{URIRef}[77],cito:cites{URIRef}[78],cito:cites{URIRef}[79],cito:cites{URIRef}[80],cito:cites{URIRef}[81],cito:cites{URIRef}[82],cito:cites{URIRef}[83],cito:cites{URIRef}[84],cito:cites{URIRef}[85],cito:cites{URIRef}[86],cito:cites{URIRef}[87],cito:cites{URIRef}[88],cito:cites{URIRef}[89],cito:cites{URIRef}[90],cito:cites{URIRef}[91],cito:cites{URIRef}[92],cito:cites{URIRef}[93],cito:cites{URIRef}[94],cito:cites{URIRef}[95],cito:cites{URIRef}[96],cito:cites{URIRef}[97],titre,domaine,train
http://data.persee.fr/doc/rural_0014-2182_1981_num_83_1_2663#Web,https://www.persee.fr/doc/rural_0014-2182_1981_num_83_1_2663,http://data.persee.fr/authority/207491#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La riziculture et la maîtrise de l'eau dans le Kampuchea démocratique,Pluri. Par essence,True
http://data.persee.fr/doc/rscir_0035-2217_1923_num_3_4_1240_t1_0607_0000_2#Web,https://www.persee.fr/doc/rscir_0035-2217_1923_num_3_4_1240_t1_0607_0000_2,http://data.persee.fr/authority/280294#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P. Matthaeus a Coronata, O. M. C, De lotis et temporibus sacris, 1922",Religion theologie,True
http://data.persee.fr/doc/spgeo_0046-2497_1980_num_9_2_3542#Web,https://www.persee.fr/doc/spgeo_0046-2497_1980_num_9_2_3542,http://data.persee.fr/authority/265217#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L'étroitesse de l'espace japonais,Science environmnt,True
http://data.persee.fr/doc/rscir_0035-2217_1963_num_37_2_2349_t1_0206_0000_4#Web,https://www.persee.fr/doc/rscir_0035-2217_1963_num_37_2_2349_t1_0206_0000_4,http://data.persee.fr/authority/280341#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vocabulaire de Théologie biblique, publié sous la direction de Xavier Léon-Dufour, 1962",Religion theologie,True
http://data.persee.fr/doc/simon_0409-8846_2013_num_41_1_1518#Web,https://www.persee.fr/doc/simon_0409-8846_2013_num_41_1_1518,http://data.persee.fr/authority/408928#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Récits singuliers et effets de perspective de l'écriture de soi dans la Note sur la maison de Saint-Simon,Litterature,True
http://data.persee.fr/doc/xxs_0294-1759_1986_num_10_1_4841#Web,https://www.persee.fr/doc/xxs_0294-1759_1986_num_10_1_4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livres reçus,Histoire,True
http://data.persee.fr/doc/rscir_0035-2217_2000_num_74_3_3544_t1_0405_0000_1#Web,https://www.persee.fr/doc/rscir_0035-2217_2000_num_74_3_3544_t1_0405_0000_1,http://data.persee.fr/authority/285811#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A. Faivre, Les premiers laïcs. Lorsque l 'Église naissait au monde, 1999",Religion theologie,True
http://data.persee.fr/doc/rscir_0035-2217_1937_num_17_1_1720_t1_0110_0000_2#Web,https://www.persee.fr/doc/rscir_0035-2217_1937_num_17_1_1720_t1_0110_0000_2,http://data.persee.fr/authority/280293#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chanoine Marchand, Une troublante figure : Calvin, 1936",Religion theologie,True
http://data.persee.fr/doc/xvii_0294-1953_1984_act_19_1_2220#Web,https://www.persee.fr/doc/xvii_0294-1953_1984_act_19_1_2220,http://data.persee.fr/authority/24867#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bible et sermon en Angleterre au XVIIIe siècle,Etudes g. a. cultur.,True
http://data.persee.fr/doc/scrip_0036-9772_1981_num_35_1_1210_t1_0134_0000_3#Web,https://www.persee.fr/doc/scrip_0036-9772_1981_num_35_1_1210_t1_0134_0000_3,http://data.persee.fr/authority/259654#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ariel Toaff. The Jews in Medieval Assisi, 1305-1487. A Social and Economic History of a Small Jewish Community in Italy",Litterature,True
